Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
2058980599,2023-09-08 00:08:37,2023-09-07 14:33:00,,Washington,509,Other,N
7253031733,2023-09-08 00:09:09,2023-09-07 21:51:00,,California,530,Other,N
5864077122,2023-09-08 00:10:11,2023-09-07 19:13:00,"Sterling Heights,",Michigan,586,Other,N
5863989509,2023-09-08 00:11:51,2023-09-07 16:31:00,"Sterling Heights,",Michigan,586,Other,N
5863864979,2023-09-08 00:13:02,2023-09-07 12:01:00,"Sterling Heights,",Michigan,586,Other,N
4702206471,2023-09-08 00:13:13,2023-09-07 16:16:00,,Texas,214,Other,Y
9496173543,2023-09-08 00:14:03,2023-09-06 13:00:00,corona,California,949,"Calls pretending to be government, businesses, or family and friends",N
9496173543,2023-09-08 00:14:15,2023-09-06 13:00:00,corona,California,949,"Calls pretending to be government, businesses, or family and friends",N
2096570010,2023-09-08 00:18:42,2023-09-07 12:28:00,,California,209,No Subject Provided,N
2096570010,2023-09-08 00:19:55,2023-09-07 17:53:00,,California,209,No Subject Provided,N
2537973725,2023-09-08 00:20:02,2023-09-07 21:06:00,,Washington,253,No Subject Provided,Y
9092196271,2023-09-08 00:26:14,2023-09-07 13:20:00,Ontario,California,909,Dropped call or no message,N
5105497149,2023-09-08 00:28:03,2023-09-07 07:57:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
4155340955,2023-09-08 00:29:13,2023-09-07 07:59:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
2075362707,2023-09-08 00:31:24,2023-09-06 13:16:00,,Texas,972,No Subject Provided,Y
8066995259,2023-09-08 00:32:45,2023-09-06 13:58:00,,Texas,972,No Subject Provided,Y
4242204176,2023-09-08 00:32:47,2023-09-07 16:57:00,,California,805,"Calls pretending to be government, businesses, or family and friends",Y
9096868162,2023-09-08 00:34:27,2023-09-07 12:56:00,,California,805,"Calls pretending to be government, businesses, or family and friends",Y
4696307353,2023-09-08 00:36:04,2023-09-07 15:55:00,,Texas,972,No Subject Provided,Y
8023027344,2023-09-08 00:39:39,2023-09-07 14:03:00,,Vermont,802,Medical  & prescriptions,N
2533420393,2023-09-08 00:43:23,2023-09-07 17:55:00,Phoenix,Arizona,623,Dropped call or no message,Y
2292851412,2023-09-08 00:44:50,2023-09-07 09:05:00,Phoenix,Arizona,623,Dropped call or no message,Y
6313182765,2023-09-08 00:44:54,2023-09-07 16:45:00,St. James,New York,631,No Subject Provided,
6508798397,2023-09-08 00:45:55,2023-09-07 07:57:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
6314002355,2023-09-08 00:46:37,2023-09-07 16:22:00,SAINT JAMES,New York,631,No Subject Provided,
