Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
4082691752,2022-10-18 00:01:54,2022-10-17 07:57:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
4082396275,2022-10-18 00:03:01,2022-10-17 07:58:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
2132102552,2022-10-18 00:03:13,2022-10-17 19:04:00,Oceanside,California,760,Other,Y
8339903530,2022-10-18 00:03:24,2022-10-17 10:00:00,Zion,Illinois,847,Other,Y
8333862798,2022-10-18 00:04:09,2022-10-17 00:00:00,Zion,Illinois,847,Other,N
8182257685,2022-10-18 00:05:01,2022-10-17 16:40:00,,California,818,No Subject Provided,N
2247868317,2022-10-18 00:04:45,2022-10-17 12:05:00,"Sterling Heights,",Michigan,586,Other,N
2243466723,2022-10-18 00:04:59,2022-10-17 00:00:00,Zion,Illinois,847,Dropped call or no message,N
8153748852,2022-10-18 00:05:52,2022-10-17 10:00:00,Zion,Illinois,847,Other,N
7328770108,2022-10-18 00:06:34,2022-10-14 13:38:00,,New Jersey,609,Other,Y
6095335306,2022-10-18 00:08:24,2022-10-14 19:38:00,,New Jersey,609,Other,Y
2132102552,2022-10-18 00:08:55,2022-10-17 07:58:00,Oceanside,California,760,Other,Y
6414795939,2022-10-18 00:09:27,2022-10-17 00:00:00,,Arizona,480,"Reducing your debt (credit cards, mortgage, student loans)",Y
9733930601,2022-10-18 00:10:03,2022-10-17 19:38:00,,New Jersey,609,Other,Y
2029803284,2022-10-18 00:11:53,2022-10-17 19:40:00,Toms River,New Jersey,732,Dropped call or no message,
7328770108,2022-10-18 00:12:29,2022-10-14 15:38:00,,New Jersey,609,Other,Y
7328181902,2022-10-18 00:12:50,2022-10-17 16:40:00,Toms River,New Jersey,732,Dropped call or no message,
6095335306,2022-10-18 00:13:36,2022-10-14 17:38:00,,New Jersey,609,Other,Y
7754360819,2022-10-18 00:13:47,2022-10-17 14:30:00,,Nevada,702,"Calls pretending to be government, businesses, or family and friends",Y
7328186175,2022-10-18 00:13:52,2022-10-17 14:57:00,Toms River,New Jersey,732,Dropped call or no message,
7022130059,2022-10-18 00:14:39,2022-10-17 18:36:00,,Nevada,702,"Calls pretending to be government, businesses, or family and friends",Y
9733930601,2022-10-18 00:15:04,2022-10-17 17:38:00,,New Jersey,609,Other,Y
7023238056,2022-10-18 00:15:21,2022-10-17 20:05:00,,Nevada,702,"Calls pretending to be government, businesses, or family and friends",Y
7029418423,2022-10-18 00:16:39,2022-10-17 20:39:00,,Nevada,702,No Subject Provided,N
4582276773,2022-10-18 00:19:16,2022-10-17 12:26:00,Cumming,Georgia,770,Other,N
2029708908,2022-10-18 00:20:17,2022-10-17 17:54:00,Cumming,Georgia,770,Other,N
8584534625,2022-10-18 00:22:02,2022-10-01 18:38:00,,New Jersey,609,Dropped call or no message,N
8584534625,2022-10-18 00:22:56,2022-10-01 20:38:00,,New Jersey,609,Dropped call or no message,N
8085186536,2022-10-18 00:24:14,2022-10-17 00:00:00,,Hawaii,808,No Subject Provided,N
5308061531,2022-10-18 00:24:17,2022-10-03 04:38:00,,New Jersey,609,Dropped call or no message,N
5308061531,2022-10-18 00:25:17,2022-10-03 14:38:00,,New Jersey,609,Dropped call or no message,N
7712105690,2022-10-18 00:26:03,2022-10-14 15:28:00,Livonia,Michigan,313,Other,N
8667406035,2022-10-18 00:26:13,2016-05-01 12:00:00,North Port,Florida,941,"Reducing your debt (credit cards, mortgage, student loans)",N
9012324322,2022-10-18 00:01:40,2022-10-17 09:28:00,Memphis,Tennessee,901,"Calls pretending to be government, businesses, or family and friends",Y
2132102552,2022-10-18 00:01:11,2022-10-17 18:36:00,Oceanside,California,760,Other,Y
8172903101,2022-10-18 00:00:16,2022-10-07 09:50:00,Coral Gables,Florida,786,"Reducing your debt (credit cards, mortgage, student loans)",Y
4134175036,2022-10-18 00:28:27,2022-09-26 13:38:00,,New Jersey,609,Dropped call or no message,N
7702384325,2022-10-18 00:29:10,2022-09-11 18:45:00,Livonia,Michigan,313,Other,N
4134175036,2022-10-18 00:29:11,2022-09-26 15:38:00,,New Jersey,609,Dropped call or no message,N
2106400653,2022-10-18 00:29:12,2022-10-17 09:13:00,,Texas,956,Other,Y
8037697558,2022-10-18 00:29:41,2022-10-17 09:11:00,Lancaster,South Carolina,803,Dropped call or no message,N
8032058532,2022-10-18 00:30:50,2022-10-17 10:48:00,Lancaster,South Carolina,803,Dropped call or no message,N
8032058678,2022-10-18 00:31:46,2022-10-17 13:13:00,Lancaster,South Carolina,803,Dropped call or no message,N
8048466095,2022-10-18 00:32:34,2022-10-17 18:19:00,Henrico,Virginia,804,"Calls pretending to be government, businesses, or family and friends",N
7473265835,2022-10-18 00:32:40,2022-10-17 12:29:00,Whittier,California,323,Other,N
8037238063,2022-10-18 00:32:44,2022-10-17 13:43:00,Lancaster,South Carolina,803,Dropped call or no message,N
6313012685,2022-10-18 00:33:53,2022-10-17 17:25:00,Lancaster,South Carolina,803,Dropped call or no message,N
9734213268,2022-10-18 00:35:29,2022-10-17 21:00:00,Irvington,New Jersey,973,Vacation  & timeshares,Y
3608009409,2022-10-18 00:37:40,2022-10-17 19:51:00,,Washington,206,Other,N
9492054513,2022-10-18 00:37:44,2022-10-14 07:00:00,Tucson,Arizona,215,Dropped call or no message,Y
3132176049,2022-10-18 00:38:17,2022-10-15 11:03:00,Dallas,Texas,347,Other,Y
9095569789,2022-10-18 00:38:48,2022-10-17 21:14:00,,California,310,"Calls pretending to be government, businesses, or family and friends",N
5205212550,2022-10-18 00:39:30,2022-10-13 17:45:00,Tucson,Arizona,215,Dropped call or no message,Y
7163511575,2022-10-18 00:40:35,2022-10-17 18:46:00,,Connecticut,203,No Subject Provided,
8037693782,2022-10-18 00:40:35,2022-10-17 17:33:00,Lancaster,South Carolina,803,Dropped call or no message,N
5205531166,2022-10-18 00:41:15,2022-10-13 10:00:00,Tucson,Arizona,215,Dropped call or no message,Y
8037569575,2022-10-18 00:41:38,2022-10-17 18:57:00,Lancaster,South Carolina,803,Dropped call or no message,N
3322493393,2022-10-18 00:42:47,2022-10-13 09:33:00,Tucson,Arizona,215,Dropped call or no message,Y
