Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
9379091696,2022-10-25 00:15:00,2022-10-19 14:36:00,Anchorage,Alaska,907,Other,N
8883821222,2022-10-25 00:15:21,2022-10-25 09:05:00,,North Carolina,336,No Subject Provided,Y
9287658117,2022-10-25 00:16:41,2022-10-17 12:07:00,Anchorage,Alaska,907,Other,N
7759425730,2022-10-25 00:16:46,2022-10-24 20:32:00,Sparks,Nevada,775,Other,Y
2029511044,2022-10-25 00:17:26,2022-10-14 13:15:00,Bellevue,Kentucky,513,Other,Y
45433125287,2022-10-25 00:18:02,2022-10-13 09:24:00,Anchorage,Alaska,907,Other,N
9492154496,2022-10-25 00:19:19,2022-10-24 21:06:00,,Washington,206,Other,Y
4584594486,2022-10-25 00:19:26,2022-10-11 11:04:00,Anchorage,Alaska,907,Other,N
,2022-10-25 00:20:24,2022-10-14 13:15:00,,Ohio,513,"Calls pretending to be government, businesses, or family and friends",Y
9035811330,2022-10-25 00:22:30,2022-10-24 15:43:00,,Texas,903,No Subject Provided,
9035811457,2022-10-25 00:23:56,2022-10-21 14:18:00,,Texas,903,No Subject Provided,
4255174585,2022-10-25 00:24:42,2022-10-24 16:02:00,Sammamish,Washington,425,Dropped call or no message,Y
9035856210,2022-10-25 00:25:31,2022-10-21 10:49:00,,Texas,903,No Subject Provided,
4255174110,2022-10-25 00:26:03,2022-10-24 15:00:00,Sammamish,Washington,425,Dropped call or no message,Y
9567105366,2022-10-25 00:27:24,2022-10-19 13:34:00,,Texas,903,No Subject Provided,
4254751844,2022-10-25 00:27:52,2022-10-24 13:08:00,Sammamish,Washington,425,Dropped call or no message,Y
8085821197,2022-10-25 00:28:09,2022-10-24 16:55:00,mililani,Hawaii,808,Other,
4255174585,2022-10-25 00:29:14,2022-10-24 16:03:00,Sammamish,Washington,425,Dropped call or no message,Y
5093445535,2022-10-25 00:29:27,2022-10-24 19:25:00,Ferndale,Washington,509,No Subject Provided,
6156234725,2022-10-25 00:29:31,2022-10-24 12:43:00,Johnson City,Tennessee,423,Other,N
7142534831,2022-10-25 00:29:35,2022-10-24 16:44:00,,California,714,Other,
6283482873,2022-10-25 00:30:21,2022-10-24 17:00:00,napa,California,707,Dropped call or no message,Y
8652178329,2022-10-25 00:30:21,2022-10-24 12:18:00,Johnson City,Tennessee,423,Other,N
4255174110,2022-10-25 00:30:26,2022-10-24 03:00:00,Sammamish,Washington,425,Dropped call or no message,Y
8652051315,2022-10-25 00:31:30,2022-10-24 11:29:00,Johnson City,Tennessee,423,Other,N
7142534831,2022-10-25 00:31:42,2022-10-24 12:24:00,,California,714,Other,
2067383290,2022-10-25 00:31:59,2022-10-24 11:50:00,Sammamish,Washington,425,Dropped call or no message,Y
3303904728,2022-10-25 00:32:40,2022-10-24 13:13:00,vienna,Ohio,330,"Calls pretending to be government, businesses, or family and friends",Y
2096826430,2022-10-25 00:33:02,2022-10-24 10:26:00,,California,714,Other,
2067589355,2022-10-25 00:33:33,2022-10-24 11:34:00,Sammamish,Washington,425,Dropped call or no message,Y
6462166876,2022-10-25 00:33:48,2022-10-24 14:40:00,vienna,Ohio,330,Dropped call or no message,Y
,2022-10-25 00:33:51,2022-10-24 13:00:00,,Georgia,770,No Subject Provided,Y
7144335730,2022-10-25 00:33:54,2022-10-24 09:36:00,,California,714,Other,
0000000000,2022-10-25 00:13:49,2022-10-25 00:00:00,North Middletown,New Jersey,917,"Calls pretending to be government, businesses, or family and friends",Y
,2022-10-25 00:05:36,2022-10-24 00:00:00,Bradford,Tennessee,731,Medical  & prescriptions,Y
7852920536,2022-10-25 00:05:30,2022-10-24 20:38:00,,California,530,"Lotteries, prizes  & sweepstakes",Y
7142534831,2022-10-25 00:34:46,2022-10-24 08:16:00,,California,714,Other,
2063384732,2022-10-25 00:34:51,2022-10-24 09:36:00,Sammamish,Washington,425,Dropped call or no message,Y
3302823172,2022-10-25 00:35:18,2022-10-24 14:50:00,vienna,Ohio,330,"Calls pretending to be government, businesses, or family and friends",Y
4704505994,2022-10-25 00:35:22,2022-10-24 15:03:00,,Georgia,770,No Subject Provided,Y
4255174160,2022-10-25 00:36:07,2022-10-24 08:24:00,Sammamish,Washington,425,Dropped call or no message,Y
,2022-10-25 00:36:37,2022-10-24 20:34:00,,Georgia,770,No Subject Provided,Y
3307462790,2022-10-25 00:37:52,2022-10-24 19:49:00,vienna,Ohio,330,"Calls pretending to be government, businesses, or family and friends",Y
7139033363,2022-10-25 00:38:00,2022-10-25 00:00:00,Jefferson city,Missouri,636,Other,N
9472160814,2022-10-25 00:38:15,2022-10-24 19:02:00,Foley,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
6303828715,2022-10-25 00:39:00,2022-10-24 19:07:00,,Illinois,773,Dropped call or no message,
3093283856,2022-10-25 00:39:44,2022-10-24 15:28:00,,Illinois,773,Dropped call or no message,
7088311218,2022-10-25 00:40:24,2022-10-24 12:04:00,,Illinois,773,Dropped call or no message,
4692140891,2022-10-25 00:40:39,2022-10-24 01:43:00,Jefferson city,Missouri,636,Other,N
8328521428,2022-10-25 00:42:31,2022-10-25 22:51:00,Jefferson city,Missouri,636,Other,N
2402135517,2022-10-25 00:44:10,2022-10-24 21:53:00,,District of Columbia,609,"Calls pretending to be government, businesses, or family and friends",Y
7602880135,2022-10-25 00:45:53,2022-10-24 11:27:00,,California,760,No Subject Provided,
2542235658,2022-10-25 00:49:20,2022-10-24 08:01:00,,Texas,281,No Subject Provided,
2819643536,2022-10-25 00:50:19,2022-10-24 08:41:00,,Texas,281,No Subject Provided,
7152304977,2022-10-25 00:51:23,2022-10-24 08:53:00,,Texas,281,No Subject Provided,
7202822719,2022-10-25 00:55:22,2022-10-24 07:57:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
4087397976,2022-10-25 00:57:05,2022-10-24 07:58:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
8662961050,2022-10-25 01:04:02,2022-10-24 09:38:00,,Ohio,216,No Subject Provided,N
4159031263,2022-10-25 01:04:15,2022-10-24 00:00:00,,California,415,No Subject Provided,
2169101141,2022-10-25 01:05:37,2022-10-24 16:16:00,,Ohio,216,No Subject Provided,N
6262056290,2022-10-25 01:06:22,2022-10-24 13:00:00,,California,626,Other,Y
2814590582,2022-10-25 01:06:55,2022-10-24 09:50:00,,Texas,281,No Subject Provided,
6268984357,2022-10-25 01:07:48,2022-10-24 14:00:00,,California,626,Other,Y
3464867613,2022-10-25 01:08:23,2022-10-24 10:05:00,,Texas,281,No Subject Provided,
8445122750,2022-10-25 01:09:27,2022-10-24 10:44:00,,Texas,281,No Subject Provided,
6262252471,2022-10-25 01:09:24,2022-10-24 17:00:00,,California,626,Other,Y
6268896941,2022-10-25 01:10:50,2022-10-24 19:00:00,,California,626,Other,Y
5089366470,2022-10-25 01:12:03,2022-10-24 11:30:00,,Texas,281,No Subject Provided,
3464606479,2022-10-25 01:13:05,2022-10-24 11:54:00,,Texas,281,No Subject Provided,
2819558600,2022-10-25 01:14:08,2022-10-24 14:15:00,,Texas,281,No Subject Provided,
9285829353,2022-10-25 01:15:29,2022-10-24 15:19:00,,Texas,281,No Subject Provided,
7252790504,2022-10-25 01:15:04,2022-10-24 12:46:00,Las Vegas,Nevada,702,Dropped call or no message,Y
4695813536,2022-10-25 01:16:41,2022-10-24 16:05:00,,Texas,281,No Subject Provided,
7252881392,2022-10-25 01:16:36,2022-10-24 12:49:00,Las Vegas,Nevada,702,Dropped call or no message,Y
2819834643,2022-10-25 01:17:43,2022-10-24 16:11:00,,Texas,281,No Subject Provided,
8887948630,2022-10-25 01:34:04,2022-10-24 12:00:00,San Diego,California,619,"Calls pretending to be government, businesses, or family and friends",N
