Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
5756932653,2023-02-06 00:10:37,2023-02-05 07:11:00,,New Mexico,575,Other,
5207830266,2023-02-06 00:19:11,2023-02-05 15:22:00,sun city west,Arizona,480,Medical  & prescriptions,N
4402105530,2023-02-06 00:21:49,2023-02-05 13:09:00,,Ohio,440,Dropped call or no message,N
7328138703,2023-02-06 01:47:47,2023-02-03 13:46:00,View Park,California,310,Other,N
3852732851,2023-02-06 01:51:53,2022-12-27 13:51:00,View Park,California,310,"Calls pretending to be government, businesses, or family and friends",N
4692903054,2023-02-06 01:54:07,2023-01-09 14:11:00,View Park,California,310,Other,N
8554480080,2023-02-06 01:56:09,2023-01-13 12:50:00,View Park,California,310,No Subject Provided,N
1848272037,2023-02-06 01:59:10,2023-02-05 12:00:00,Cleveland,Ohio,216,Other,N
4706906579,2023-02-06 02:01:01,2023-01-18 12:12:00,View Park,California,310,Other,N
5302034182,2023-02-06 02:02:46,2023-01-19 14:44:00,View Park,California,310,Other,N
5307258100,2023-02-06 02:03:31,2023-02-04 07:32:00,,California,530,Medical  & prescriptions,N
8053096249,2023-02-06 02:05:24,2023-01-23 12:09:00,View Park,California,310,Other,N
8887214604,2023-02-06 02:07:03,2023-01-31 12:00:00,Baypoint,California,855,"Calls pretending to be government, businesses, or family and friends",N
4422018350,2023-02-06 02:08:08,2023-01-23 11:23:00,View Park,California,310,Other,N
6363244339,2023-02-06 02:09:30,2023-02-03 10:49:00,View Park,California,310,Other,N
2084025752,2023-02-06 02:11:58,2023-02-05 19:15:00,W Melbourne,Florida,321,Other,N
4422018845,2023-02-06 02:13:00,2023-01-25 11:29:00,View Park,California,310,Other,N
4012389397,2023-02-06 02:13:57,2023-01-24 10:00:00,View Park,California,310,Other,Y
3,2023-02-06 02:58:56,2023-01-14 12:00:00,pawtucket,Rhode Island,877,Other,N
6319200263,2023-02-06 03:42:41,2023-01-31 10:34:00,,New York,631,Dropped call or no message,
6319200263,2023-02-06 03:44:21,2023-01-31 10:34:00,,New York,631,Dropped call or no message,
6319200464,2023-02-06 03:46:06,2023-01-31 14:19:00,,New York,631,Dropped call or no message,
6319200529,2023-02-06 03:47:54,2023-01-31 15:15:00,,New York,631,Dropped call or no message,
Dontremember,2023-02-06 03:55:22,2023-01-25 12:00:00,Priest River,Idaho,208,"Lotteries, prizes  & sweepstakes",N
6319200175,2023-02-06 03:55:52,2023-02-01 13:10:00,,New York,631,Dropped call or no message,
6319200175,2023-02-06 03:57:06,2023-02-06 13:10:00,,New York,631,Dropped call or no message,
6319200504,2023-02-06 03:58:47,2023-02-02 12:13:00,,New York,631,Dropped call or no message,
6319200716,2023-02-06 04:00:34,2023-02-02 14:26:00,,New York,631,Dropped call or no message,
6319200876,2023-02-06 04:02:01,2023-02-02 14:55:00,,New York,631,Dropped call or no message,
6319200328,2023-02-06 04:03:22,2023-02-03 11:38:00,,New York,631,Dropped call or no message,
6319200631,2023-02-06 04:05:01,2023-02-03 15:21:00,,New York,631,Dropped call or no message,
6319200758,2023-02-06 04:06:17,2023-02-03 17:42:00,,New York,631,Dropped call or no message,
6319200128,2023-02-06 04:07:22,2023-02-03 17:47:00,,New York,631,Dropped call or no message,
8665830656,2023-02-06 00:08:13,2023-02-05 15:55:00,,Minnesota,612,"Calls pretending to be government, businesses, or family and friends",Y
2282500872,2023-02-06 00:03:12,2023-02-02 10:07:00,Gulfport,Mississippi,228,Other,Y
2282200556,2023-02-06 00:01:21,2023-02-03 09:07:00,Gulfport,Mississippi,228,Medical  & prescriptions,Y
8889137174,2023-02-06 04:08:26,2023-02-02 04:01:00,,South Carolina,843,No Subject Provided,Y
,2023-02-06 04:27:06,2023-02-05 16:19:00,Los Angeles,California,626,Other,Y
2064382370,2023-02-06 04:32:39,2023-02-03 18:55:00,Shoreline,Washington,206,Other,
4092075978,2023-02-06 04:48:03,2022-09-30 10:42:00,Houston,Texas,713,Other,Y
4092075978,2023-02-06 04:52:03,2022-09-30 10:30:00,Houston,Texas,713,Other,Y
,2023-02-06 05:07:05,2023-02-06 12:00:00,,Mississippi,769,Other,Y
8622102135,2023-02-06 05:31:15,2020-08-22 12:16:00,RANDOLPH,New Jersey,973,Other,Y
8003556586,2023-02-06 05:38:09,2023-02-04 17:28:00,Fairbanks,Alaska,907,Other,Y
8003556586,2023-02-06 05:38:44,2023-02-05 10:03:00,Fairbanks,Alaska,907,Other,Y
9528956263,2023-02-06 06:18:45,2023-02-06 04:48:00,Dehradun,Utah,941,Other,N
8438929011,2023-02-06 06:31:01,2023-02-05 17:35:00,,Michigan,248,No Subject Provided,N
,2023-02-06 06:32:25,2023-02-05 14:04:00,,Alabama,205,Other,N
523951235641,2023-02-06 06:43:45,2023-02-06 12:00:00,Myrtle Beach,South Carolina,843,"Calls pretending to be government, businesses, or family and friends",N
5025916302,2023-02-06 06:49:03,2023-02-03 15:27:00,,New Jersey,732,No Subject Provided,Y
8565882003,2023-02-06 06:53:10,2023-02-05 17:11:00,,New Jersey,732,No Subject Provided,Y
7174047217,2023-02-06 07:13:59,2023-02-03 19:05:00,,Pennsylvania,717,Dropped call or no message,N
22953104164,2023-02-06 07:15:55,2023-02-06 12:00:00,Casar,North Carolina,980,Other,N
8449398962,2023-02-06 07:22:59,2023-02-02 11:49:00,Rockingham,Virginia,540,"Calls pretending to be government, businesses, or family and friends",Y
,2023-02-06 07:33:51,2023-02-03 17:42:00,Woodcliff Lake,New Jersey,201,"Energy, solar,  & utilities",Y
3014095303,2023-02-06 07:37:40,2023-02-01 17:44:00,Gaithersburg,Maryland,301,Dropped call or no message,Y
3018959677,2023-02-06 07:39:08,2023-02-02 15:25:00,Gaithersburg,Maryland,301,Dropped call or no message,Y
2694824674,2023-02-06 07:40:32,2023-02-03 17:11:00,Hastings,Michigan,269,"Energy, solar,  & utilities",Y
5123069065,2023-02-06 07:42:46,2023-02-03 09:21:00,Gaithersburg,Maryland,301,Dropped call or no message,Y
2692720090,2023-02-06 07:43:48,2023-02-03 12:34:00,Hastings,Michigan,269,Other,
8188629981,2023-02-06 07:46:31,2023-02-03 09:35:00,,California,818,Other,Y
