Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
7208249880,2023-04-19 00:01:53,2023-04-12 13:32:00,,,434,Dropped call or no message,Y
9732216365,2023-04-19 00:02:38,2023-04-18 10:03:00,Yerington,New Jersey,973,Other,Y
7573473016,2023-04-19 00:02:59,2023-04-10 16:31:00,,Virginia,434,Dropped call or no message,Y
2057949879,2023-04-19 00:03:15,2023-04-18 15:59:00,,Louisiana,318,No Subject Provided,N
7573473016,2023-04-19 00:03:53,2023-04-04 16:53:00,,Virginia,434,Dropped call or no message,Y
9732216365,2023-04-19 00:04:10,2023-04-18 11:52:00,Yerington,Nevada,973,Other,Y
7576649001,2023-04-19 00:04:56,2023-04-03 16:47:00,,Virginia,434,Dropped call or no message,Y
5122595834,2023-04-19 00:05:45,2023-04-18 11:02:00,,Texas,512,No Subject Provided,Y
8888996650,2023-04-19 00:05:52,2023-04-03 12:17:00,,Virginia,434,Dropped call or no message,Y
9732216365,2023-04-19 00:06:44,2023-04-18 13:05:00,Yerington,Nevada,973,Other,Y
5122400534,2023-04-19 00:07:07,2023-04-18 16:50:00,,Texas,512,No Subject Provided,Y
,2023-04-19 00:08:05,2023-04-18 00:00:00,Bainbridge Island,Washington,818,"Energy, solar,  & utilities",Y
4053359059,2023-04-19 00:08:27,2023-04-18 15:27:00,,Texas,512,No Subject Provided,Y
5122769107,2023-04-19 00:09:45,2023-04-18 15:32:00,,Texas,512,No Subject Provided,Y
5122400719,2023-04-19 00:11:12,2023-04-18 15:58:00,,Texas,512,No Subject Provided,Y
5122255066,2023-04-19 00:12:55,2023-04-18 16:23:00,,Texas,512,No Subject Provided,Y
5122400635,2023-04-19 00:15:08,2023-04-18 15:09:00,,Texas,512,No Subject Provided,Y
5122233956,2023-04-19 00:16:25,2023-04-18 15:07:00,,Texas,512,No Subject Provided,Y
8444991796,2023-04-19 00:16:38,2023-04-18 18:21:00,Johnson City,Tennessee,423,Other,N
5122206389,2023-04-19 00:17:41,2023-04-18 14:40:00,,Texas,512,No Subject Provided,Y
5122338915,2023-04-19 00:18:52,2023-04-18 13:19:00,,Texas,512,No Subject Provided,Y
9097603998,2023-04-19 00:19:47,2023-04-17 09:52:00,SYLMAR,California,818,"Energy, solar,  & utilities",Y
5122569168,2023-04-19 00:20:22,2023-04-18 12:38:00,,Texas,512,No Subject Provided,Y
7473137332,2023-04-19 00:20:42,2023-04-17 15:12:00,SYLMAR,California,818,"Energy, solar,  & utilities",Y
7144593207,2023-04-19 00:20:48,2023-04-18 16:36:00,Orange,California,714,"Energy, solar,  & utilities",Y
2063127135,2023-04-19 00:20:56,2023-04-18 17:47:00,FIFE,Washington,253,Other,N
2629442033,2023-04-19 00:21:28,2023-04-18 06:42:00,SYLMAR,California,818,"Energy, solar,  & utilities",Y
2543428149,2023-04-19 00:21:39,2023-04-18 11:29:00,,Texas,512,No Subject Provided,Y
8042319242,2023-04-19 00:21:47,2023-04-18 12:35:00,Sherwood,Arkansas,804,Home security  & alarms,N
8184203223,2023-04-19 00:22:13,2023-04-18 07:55:00,SYLMAR,California,818,"Energy, solar,  & utilities",Y
8183075127,2023-04-19 00:22:59,2023-04-18 12:29:00,SYLMAR,California,818,"Energy, solar,  & utilities",Y
3045571866,2023-04-19 00:23:02,2023-04-18 13:41:00,,California,530,Other,Y
6266129834,2023-04-19 00:23:45,2023-04-18 17:36:00,SYLMAR,California,818,"Energy, solar,  & utilities",Y
4056973561,2023-04-19 00:01:24,2023-04-18 18:03:00,,Oklahoma,405,No Subject Provided,Y
,2023-04-19 00:01:24,2023-04-18 16:39:00,Plano,Texas,972,"Calls pretending to be government, businesses, or family and friends",
9732216365,2023-04-19 00:00:19,2023-04-18 08:46:00,Yerington,New Jersey,973,Other,Y
4808476616,2023-04-19 00:30:58,2023-04-13 16:58:00,TAMPA,Florida,813,Other,N
9174568754,2023-04-19 00:34:29,2023-04-18 14:59:00,,New York,516,Other,Y
3236856002,2023-04-19 00:36:10,2023-04-18 07:45:00,Pomona,California,909,"Energy, solar,  & utilities",N
4253647242,2023-04-19 00:36:27,2023-04-18 09:40:00,Glendale,Arizona,602,No Subject Provided,N
6266126363,2023-04-19 00:40:26,2023-04-18 17:54:00,,California,818,No Subject Provided,N
6505855046,2023-04-19 00:41:29,2023-04-18 17:51:00,,California,818,No Subject Provided,N
2762134867,2023-04-19 00:45:12,2023-04-18 15:27:00,Marietta,Georgia,404,Other,Y
6625033939,2023-04-19 00:47:12,2023-04-18 00:00:00,Cordova,Tennessee,901,Other,Y
5412254172,2023-04-19 00:47:26,2023-04-18 12:59:00,Terrebonne,Oregon,541,"Calls pretending to be government, businesses, or family and friends",Y
2134014404,2023-04-19 00:48:03,2023-04-18 13:00:00,Los Angeles,California,213,Dropped call or no message,Y
6628382206,2023-04-19 00:48:22,2023-04-01 00:00:00,Cordova,Tennessee,901,Other,Y
4242397936,2023-04-19 00:49:10,2023-04-18 17:09:00,Los Angeles,California,213,Dropped call or no message,Y
8444217502,2023-04-19 00:49:46,2023-04-18 00:00:00,Cordova,Tennessee,901,Other,Y
8666869868,2023-04-19 00:51:11,2023-04-18 00:00:00,Cordova,Tennessee,901,Other,Y
3145603200,2023-04-19 00:51:21,2023-04-18 23:46:00,Pensacola,Florida,989,Other,Y
5017321671,2023-04-19 00:51:43,2023-04-18 12:00:00,Apple Valley,California,760,Other,N
8773493281,2023-04-19 00:52:31,2023-04-18 00:00:00,Cordova,Tennessee,901,Other,Y
4252106227,2023-04-19 00:52:41,2023-04-18 23:08:00,Pensacola,Michigan,989,Other,Y
9892033301,2023-04-19 00:54:51,2023-04-11 11:12:00,Pensacola,Michigan,989,"Calls pretending to be government, businesses, or family and friends",N
9892668934,2023-04-19 00:56:02,2023-04-17 13:41:00,Pensacola,Michigan,989,Other,Y
3036300918,2023-04-19 00:59:14,2023-04-17 18:43:00,,Pennsylvania,484,Other,N
2535617538,2023-04-19 00:59:22,2023-04-18 00:00:00,,Washington,253,Other,N
2077300472,2023-04-19 01:01:17,2023-04-18 07:22:00,Port Charlotte,Florida,888,Computer  & technical support,Y
2563347443,2023-04-19 01:02:02,2023-04-18 08:12:00,Fairbanks,Alaska,907,Dropped call or no message,Y
3163967659,2023-04-19 01:03:35,2023-04-18 12:45:00,,California,323,No Subject Provided,Y
2563347443,2023-04-19 01:03:43,2023-04-18 19:49:00,Fairbanks,Alaska,907,Dropped call or no message,Y
8184665669,2023-04-19 01:04:14,2023-04-18 00:00:00,Upper Marlboro,Maryland,843,Other,N
3163967659,2023-04-19 01:04:46,2023-04-18 12:45:00,,California,213,No Subject Provided,Y
8182018520,2023-04-19 01:06:53,2023-04-12 15:35:00,Camarillo,California,818,"Energy, solar,  & utilities",Y
6314761331,2023-04-19 01:08:20,2023-04-18 14:09:00,East Patchogue,New York,631,Other,Y
8182008198,2023-04-19 01:08:46,2023-04-14 12:49:00,Camarillo,California,818,"Energy, solar,  & utilities",Y
8182088731,2023-04-19 01:10:40,2023-04-15 11:46:00,Camarillo,California,818,"Energy, solar,  & utilities",Y
3477054188,2023-04-19 01:11:42,2023-04-18 00:00:00,Brooklyn,New York,347,Other,Y
8182105138,2023-04-19 01:11:52,2023-04-16 12:56:00,Camarillo,California,818,"Energy, solar,  & utilities",Y
5593797306,2023-04-19 01:12:02,2023-04-18 14:23:00,,California,323,No Subject Provided,Y
6312032324,2023-04-19 01:12:09,2023-04-18 17:50:00,East Patchogue,New York,631,Vacation  & timeshares,Y
7142306059,2023-04-19 01:13:02,2023-04-17 15:34:00,Camarillo,California,818,"Energy, solar,  & utilities",Y
5593797306,2023-04-19 01:13:12,2023-04-18 14:23:00,,California,213,No Subject Provided,Y
2134978428,2023-04-19 01:14:10,2023-04-18 14:40:00,Camarillo,California,818,"Energy, solar,  & utilities",Y
7035706356,2023-04-19 01:15:05,2023-04-18 18:23:00,,Virginia,703,Other,Y
3854897384,2023-04-19 01:15:27,2023-04-18 11:57:00,Walnut Creek,California,925,Dropped call or no message,Y
3372831338,2023-04-19 01:15:49,2023-04-18 14:59:00,,California,323,No Subject Provided,Y
6182387840,2023-04-19 01:16:14,2023-04-18 12:06:00,Edgewood,Illinois,618,"Calls pretending to be government, businesses, or family and friends",Y
3372831338,2023-04-19 01:16:58,2023-04-18 14:59:00,,California,213,No Subject Provided,Y
9257992531,2023-04-19 01:18:01,2023-04-18 11:06:00,Walnut Creek,California,925,Other,Y
,2023-04-19 01:19:13,2023-04-14 00:00:00,,Pennsylvania,717,No Subject Provided,N
9255102627,2023-04-19 01:19:09,2023-04-17 13:24:00,Walnut Creek,California,925,Dropped call or no message,Y
9804589696,2023-04-19 01:19:58,2023-04-17 11:02:00,Walnut Creek,California,925,Dropped call or no message,Y
5733095598,2023-04-19 01:20:56,2023-04-17 10:44:00,Walnut Creek,California,925,Dropped call or no message,Y
8053034457,2023-04-19 01:21:31,2023-04-18 15:45:00,,California,323,No Subject Provided,Y
8053034457,2023-04-19 01:22:44,2023-04-18 15:45:00,,California,213,No Subject Provided,Y
5593361628,2023-04-19 01:23:05,2023-04-18 11:22:00,Clovis,California,559,Other,Y
9259615662,2023-04-19 01:23:35,2023-04-18 14:37:00,Walnut Creek,California,925,Other,Y
5592580413,2023-04-19 01:23:46,2023-04-17 15:45:00,Clovis,California,559,Other,Y
4423076487,2023-04-19 01:24:17,2023-04-17 12:33:00,Clovis,California,559,Other,Y
7079310136,2023-04-19 01:25:13,2023-04-18 14:22:00,Walnut Creek,California,925,Dropped call or no message,Y
2098849322,2023-04-19 01:25:24,2023-04-18 00:00:00,Reno,Nevada,323,"Reducing your debt (credit cards, mortgage, student loans)",Y
2029807617,2023-04-19 01:26:04,2023-04-18 08:56:00,Walnut Creek,California,925,Dropped call or no message,Y
9257468866,2023-04-19 01:26:56,2023-04-18 08:29:00,Walnut Creek,California,925,Dropped call or no message,Y
61989421001,2023-04-19 01:28:01,2023-04-17 15:31:00,Walnut Creek,California,925,Other,Y
5203916982,2023-04-19 01:28:12,2023-04-18 19:03:00,,Arizona,520,Other,Y
9253132620,2023-04-19 01:28:49,2023-04-18 13:22:00,Walnut Creek,California,925,Dropped call or no message,Y
2814091974,2023-04-19 01:29:34,2023-04-15 10:42:00,,Texas,281,Other,Y
2134603588,2023-04-19 01:29:40,2023-04-18 08:21:00,Walnut Creek,California,925,Dropped call or no message,Y
5204233645,2023-04-19 01:30:24,2023-04-18 20:35:00,,Arizona,520,Other,Y
5037551858,2023-04-19 01:30:40,2023-04-18 16:34:00,,Oregon,541,Computer  & technical support,Y
2812161044,2023-04-19 01:31:25,2023-04-15 11:15:00,,Texas,281,Other,Y
,2023-04-19 01:31:52,2019-01-01 12:00:00,Nashville,Tennessee,615,Other,Y
2815946960,2023-04-19 01:32:44,2023-04-15 12:11:00,,Texas,281,Other,Y
4793074518,2023-04-19 01:34:32,2023-04-15 15:44:00,,Texas,281,Other,Y
2812636958,2023-04-19 01:35:59,2023-04-17 12:02:00,,Texas,281,Other,Y
2818936924,2023-04-19 01:38:09,2023-04-18 14:43:00,,Texas,281,Other,Y
5637262812,2023-04-19 01:44:44,2023-04-18 13:06:00,Cathedral City,California,563,Dropped call or no message,Y
3192125075,2023-04-19 01:45:50,2023-04-18 14:03:00,Cathedral City,California,563,Dropped call or no message,Y
7732795801,2023-04-19 01:52:37,2023-04-18 15:18:00,,Illinois,630,No Subject Provided,
2133923453,2023-04-19 01:56:57,2023-04-16 10:11:00,Corona,California,626,"Calls pretending to be government, businesses, or family and friends",N
8134990355,2023-04-19 01:59:18,2023-04-18 17:02:00,Phoenix,Arizona,623,Dropped call or no message,Y
6234626183,2023-04-19 02:00:14,2023-04-18 12:32:00,Phoenix,Arizona,623,Dropped call or no message,Y
5184652133,2023-04-19 02:01:15,2023-04-18 17:16:00,Charlotte,North Carolina,518,Charities,N
7252882934,2023-04-19 02:03:49,2023-04-18 15:19:00,Mililani,Hawaii,808,Other,
6282292446,2023-04-19 02:04:03,2023-04-18 16:40:00,,California,415,Warranties  & protection plans,Y
2066811737,2023-04-19 02:04:09,2023-04-18 17:39:00,Seattle,Washington,206,Other,Y
,2023-04-19 02:09:58,2023-04-16 13:59:00,london,Kentucky,606,Other,N
,2023-04-19 02:12:54,2023-04-18 16:23:00,San Francisco,California,415,"Calls pretending to be government, businesses, or family and friends",Y
,2023-04-19 02:13:59,2023-04-15 12:37:00,london,Kentucky,606,Other,N
3232080596,2023-04-19 02:21:11,2023-04-18 18:11:00,,California,818,Dropped call or no message,
6068711580,2023-04-19 02:22:06,2023-04-14 11:35:00,london,Kentucky,606,Other,N
7652169690,2023-04-19 02:24:06,2023-04-18 00:11:00,Richmond,Virginia,804,Other,Y
