Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
5103394845,2023-12-08 00:01:40,2023-12-07 20:41:00,Newark,California,510,Medical  & prescriptions,Y
6174667767,2023-12-08 00:02:00,2023-12-07 17:16:00,Brighton,Tennessee,901,Other,N
9169000036,2023-12-08 00:02:01,2023-12-07 20:49:00,,California,916,Dropped call or no message,Y
,2023-12-08 00:02:47,2023-12-07 23:52:00,Jacksonville,Florida,904,Other,N
9169800846,2023-12-08 00:03:11,2023-12-07 20:15:00,,California,916,Dropped call or no message,N
9014361032,2023-12-08 00:03:38,2023-12-07 09:01:00,Brighton,Tennessee,901,Other,N
9893916905,2023-12-08 00:04:36,2023-12-07 21:57:00,Albuquerque,New Mexico,505,Medical  & prescriptions,Y
9166444940,2023-12-08 00:04:37,2023-12-07 14:54:00,,California,916,Medical  & prescriptions,N
9313771583,2023-12-08 00:04:45,2023-12-06 16:28:00,Brighton,Tennessee,901,Other,N
9014249632,2023-12-08 00:05:30,2023-12-06 14:52:00,Brighton,Tennessee,901,Other,N
3125060920,2023-12-08 00:06:02,2023-12-04 08:55:00,Decline to state,Texas,281,"Reducing your debt (credit cards, mortgage, student loans)",Y
4807697026,2023-12-08 00:06:25,2023-12-07 00:00:00,,Arizona,520,No Subject Provided,
7754163139,2023-12-08 00:06:26,2023-12-05 18:30:00,Brighton,Tennessee,901,Other,N
8055893145,2023-12-08 00:07:19,2023-11-30 11:12:00,Brighton,Tennessee,901,Other,N
8158536087,2023-12-08 00:07:19,2023-12-07 23:05:00,Lansing,Illinois,708,Medical  & prescriptions,Y
2092838671,2023-12-08 00:07:31,2023-12-07 20:53:00,Escalon,California,209,Medical  & prescriptions,Y
5187543956,2023-12-08 00:08:52,2023-12-07 10:21:00,East Patchogue,New York,631,Medical  & prescriptions,Y
2099375228,2023-12-08 00:09:11,2023-12-07 16:39:00,STOCKTON,California,209,Dropped call or no message,Y
3863534095,2023-12-08 00:09:42,2023-12-07 21:06:00,San Tan Valley,Arizona,909,Other,Y
6313641640,2023-12-08 00:10:07,2023-12-07 11:51:00,East Patchogue,New York,631,Medical  & prescriptions,Y
3369791697,2023-12-08 00:11:04,2023-12-07 13:00:00,,Pennsylvania,610,No Subject Provided,N
3369672261,2023-12-08 00:13:11,2023-12-07 18:33:00,,Pennsylvania,610,No Subject Provided,N
3466191499,2023-12-08 00:13:16,2023-12-07 17:47:00,San Antonio,Texas,210,Other,
0000000004158842040,2023-12-08 00:13:31,2023-12-07 21:08:00,"Larkspur, CA",California,415,Other,
3055933011,2023-12-08 00:14:10,2023-12-07 12:52:00,East Patchogue,New York,631,Other,Y
9893916601,2023-12-08 00:14:33,2023-12-07 22:43:00,,Texas,903,Dropped call or no message,N
,2023-12-08 00:14:57,2023-12-07 12:00:00,Phoenix,Arizona,623,Other,N
,2023-12-08 00:14:59,2023-12-07 20:58:00,Pollock Pines,California,530,Medical  & prescriptions,Y
4349229624,2023-12-08 00:15:12,2023-12-07 21:42:00,San Antonio,Texas,210,Other,
3345930700,2023-12-08 00:15:30,2023-12-05 08:15:00,"Thomasville, Al",Alabama,334,Medical  & prescriptions,Y
5183509683,2023-12-08 00:15:37,2023-12-07 14:58:00,East Patchogue,New York,631,Medical  & prescriptions,Y
,2023-12-08 00:15:56,2023-12-07 23:00:00,Chatham,Illinois,760,Medical  & prescriptions,Y
,2023-12-08 00:16:38,2023-12-07 13:45:00,Pollock Pines,California,530,Other,Y
3232444506,2023-12-08 00:01:05,2023-12-07 20:53:00,Los Angeles,California,323,Medical  & prescriptions,Y
5103428545,2023-12-08 00:01:04,2023-12-07 20:41:00,Newark,California,510,Medical  & prescriptions,Y
5103961197,2023-12-08 00:00:18,2023-12-07 20:15:00,Newark,California,510,Medical  & prescriptions,Y
6316261748,2023-12-08 00:17:00,2023-12-07 17:50:00,East Patchogue,New York,631,"Reducing your debt (credit cards, mortgage, student loans)",Y
8556502623,2023-12-08 00:17:41,2023-12-02 12:24:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
,2023-12-08 00:17:46,2023-12-07 14:05:00,Pollock Pines,California,530,Other,Y
8339504387,2023-12-08 00:17:50,2023-12-07 08:13:00,Vacaville,California,707,Dropped call or no message,N
4022565379,2023-12-08 00:18:05,2023-12-07 18:09:00,East Patchogue,New York,631,Medical  & prescriptions,Y
4805327347,2023-12-08 00:19:34,2023-12-07 17:45:00,,Arizona,480,No Subject Provided,N
8556495256,2023-12-08 00:19:24,2023-11-30 11:13:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
3322080638,2023-12-08 00:20:12,2023-12-06 11:12:00,East Patchogue,New York,631,"Reducing your debt (credit cards, mortgage, student loans)",Y
8556494295,2023-12-08 00:20:35,2023-11-28 15:30:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
8664970084,2023-12-08 00:20:44,2023-12-07 08:43:00,,Nevada,440,Other,Y
7602922307,2023-12-08 00:20:46,2023-12-07 16:13:00,SAINT JAMES,New York,631,No Subject Provided,
6314756851,2023-12-08 00:21:07,2023-12-06 13:38:00,East Patchogue,New York,631,Other,Y
9133123216,2023-12-08 00:21:17,2023-12-04 08:34:00,Vacaville,California,707,Other,N
9402685340,2023-12-08 00:22:36,2023-11-20 11:09:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
3477325215,2023-12-08 00:22:41,2023-12-06 13:51:00,East Patchogue,New York,631,Other,Y
3155512367,2023-12-08 00:22:54,2023-12-07 08:59:00,SAINT JAMES,New York,631,No Subject Provided,
8003803390,2023-12-08 00:23:29,2023-12-07 07:41:00,New Orleans,Louisiana,504,"Calls pretending to be government, businesses, or family and friends",Y
8887177892,2023-12-08 00:24:13,2023-11-16 12:34:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",N
5853900512,2023-12-08 00:24:21,2023-12-07 08:40:00,SAINT JAMES,New York,631,No Subject Provided,
6804445064,2023-12-08 00:24:40,2023-12-06 14:07:00,East Patchogue,New York,631,Other,Y
6062650664,2023-12-08 00:25:06,2023-12-07 21:58:00,Ky,Kentucky,606,Other,Y
5057557660,2023-12-08 00:25:09,2023-12-07 21:50:00,NM,New Mexico,505,Other,Y
4026802152,2023-12-08 00:25:37,2023-12-07 23:10:00,Blair,Nebraska,402,Medical  & prescriptions,
5025168109,2023-12-08 00:26:10,2023-12-06 17:48:00,St. James,New York,631,No Subject Provided,
8552250689,2023-12-08 00:27:07,2023-12-07 13:37:00,WENATCHEE,Washington,509,Dropped call or no message,Y
8318675048,2023-12-08 00:27:47,2023-12-06 17:47:00,St. James,New York,631,No Subject Provided,
8556495336,2023-12-08 00:29:17,2023-12-01 19:00:00,,North Carolina,405,"Reducing your debt (credit cards, mortgage, student loans)",Y
6313490732,2023-12-08 00:29:31,2023-12-06 16:45:00,St. James,New York,631,No Subject Provided,
9723817690,2023-12-08 00:29:34,2023-12-07 22:33:00,Carrollton,Texas,972,Medical  & prescriptions,N
3156198249,2023-12-08 00:29:58,2023-12-06 14:11:00,East Patchogue,New York,631,Warranties  & protection plans,Y
3854475798,2023-12-08 00:30:48,2023-12-06 14:31:00,St. James,New York,631,No Subject Provided,
6613101259,2023-12-08 00:30:50,2023-12-07 16:38:00,Lancaster,California,661,Medical  & prescriptions,Y
3322674201,2023-12-08 00:32:27,2023-12-06 13:52:00,St. James,New York,631,No Subject Provided,
8336592626,2023-12-08 00:33:07,2023-11-16 10:14:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
2124413267,2023-12-08 00:33:49,2023-12-06 12:36:00,St. James,New York,631,No Subject Provided,
2343519441,2023-12-08 00:34:13,2023-11-15 12:19:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
7734605020,2023-12-08 00:34:18,2023-11-21 15:41:00,,Illinois,773,Dropped call or no message,Y
2343519441,2023-12-08 00:34:44,2023-11-15 13:32:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
7738751502,2023-12-08 00:35:08,2023-11-21 19:25:00,,Illinois,773,Dropped call or no message,Y
2343519441,2023-12-08 00:35:34,2023-11-14 15:52:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
6313647532,2023-12-08 00:35:58,2023-12-06 09:49:00,St. James,New York,631,No Subject Provided,
6263039310,2023-12-08 00:37:17,2023-12-07 16:20:00,,California,805,No Subject Provided,
2343519441,2023-12-08 00:36:06,2023-11-14 09:01:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
2133137765,2023-12-08 00:37:33,2023-11-10 15:36:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
7738265055,2023-12-08 00:37:51,2023-11-10 18:42:00,,Illinois,773,Dropped call or no message,Y
3602034545,2023-12-08 00:38:26,2023-12-07 17:47:00,Renton,Washington,425,Dropped call or no message,Y
2133137765,2023-12-08 00:38:36,2023-11-07 08:40:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
7734737842,2023-12-08 00:38:38,2023-11-16 14:17:00,,Illinois,773,Dropped call or no message,Y
7732741595,2023-12-08 00:39:23,2023-11-17 14:41:00,,Illinois,773,Dropped call or no message,Y
4255107616,2023-12-08 00:39:32,2023-12-05 15:07:00,Renton,Washington,425,Dropped call or no message,Y
7737360500,2023-12-08 00:40:11,2023-11-18 13:22:00,,Illinois,773,Dropped call or no message,Y
3463322200,2023-12-08 00:40:17,2023-12-07 21:16:00,,Texas,817,Medical  & prescriptions,Y
88216880913,2023-12-08 00:40:59,2023-12-01 10:59:00,,Illinois,773,Dropped call or no message,Y
4256548796,2023-12-08 00:41:32,2023-12-04 16:41:00,Renton,Washington,425,Dropped call or no message,Y
,2023-12-08 00:42:23,2023-12-07 00:00:00,,Washington,206,"Reducing your debt (credit cards, mortgage, student loans)",Y
3602822153,2023-12-08 00:42:35,2023-12-04 14:13:00,Renton,Washington,425,Dropped call or no message,Y
6263039310,2023-12-08 00:44:13,2023-12-07 16:20:00,,California,805,No Subject Provided,
4058298688,2023-12-08 00:43:46,2023-12-06 09:00:00,Midwest City,Oklahoma,405,Medical  & prescriptions,Y
6263039310,2023-12-08 00:50:56,2023-12-07 16:20:00,,California,805,No Subject Provided,
8049048840,2023-12-08 00:50:11,2023-12-07 12:00:00,,Virginia,804,Other,N
5306789892,2023-12-08 00:51:23,2023-12-07 21:03:00,Sacramento,California,916,Medical  & prescriptions,N
