Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
7192235262,2024-03-28 00:01:40,2024-03-27 00:00:00,,Colorado,303,No Subject Provided,N
2097830128,2024-03-28 00:02:57,2024-03-21 18:54:00,,California,209,Other,
7192235262,2024-03-28 00:03:23,2024-03-27 02:23:00,,Colorado,303,No Subject Provided,
7737396987,2024-03-28 00:03:40,2024-03-27 14:26:00,,Illinois,708,No Subject Provided,Y
7018856344,2024-03-28 00:03:51,2024-03-27 16:01:00,Phoenix,Arizona,623,Dropped call or no message,Y
7203362926,2024-03-28 00:04:09,2024-03-27 02:53:00,,Colorado,303,No Subject Provided,
5203126774,2024-03-28 00:04:51,2024-03-13 00:00:00,Fountain Valley,California,714,No Subject Provided,N
5206809372,2024-03-28 00:05:00,2024-03-27 11:00:00,Phoenix,Arizona,623,Dropped call or no message,Y
7192249012,2024-03-28 00:05:06,2024-03-27 17:20:00,,Colorado,303,No Subject Provided,
3237395019,2024-03-28 00:05:18,2024-03-22 11:40:00,,California,209,Other,
3463388626,2024-03-28 00:05:33,2024-03-27 12:24:00,Fort Worth,Texas,817,Home improvement  & cleaning,N
8285724936,2024-03-28 00:05:53,2024-03-27 11:15:00,Candler,North Carolina,828,"Energy, solar,  & utilities",Y
526671820168,2024-03-28 00:06:12,2024-03-13 00:00:00,Fountain Valley,California,714,No Subject Provided,N
6282522913,2024-03-28 00:06:44,2024-03-27 10:49:00,Livermore,California,925,Other,Y
2099987079,2024-03-28 00:07:28,2024-03-23 13:12:00,,California,209,Other,
7434396753,2024-03-28 00:07:29,2024-03-27 12:35:00,Candler,North Carolina,828,Dropped call or no message,
7204890489,2024-03-28 00:08:11,2024-03-27 09:14:00,Larkspur,Colorado,720,Other,Y
526688294171,2024-03-28 00:08:56,2024-03-13 00:00:00,Fountain Valley,California,714,No Subject Provided,N
2095630947,2024-03-28 00:09:30,2024-03-23 15:01:00,,California,209,Other,
7207084876,2024-03-28 00:09:38,2024-03-27 09:45:00,Larkspur,Colorado,720,Other,Y
8283286610,2024-03-28 00:11:51,2024-03-27 13:08:00,Candler,North Carolina,828,"Calls pretending to be government, businesses, or family and friends",Y
8482147886,2024-03-28 00:11:55,2024-03-25 11:54:00,,California,209,Other,
8104207000,2024-03-28 00:12:01,2024-03-27 17:16:00,,Michigan,810,Dropped call or no message,N
8287617719,2024-03-28 00:12:54,2024-03-27 19:01:00,Candler,North Carolina,828,Dropped call or no message,
4157076103,2024-03-28 00:13:03,2024-03-27 21:02:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
8002397054,2024-03-28 00:13:35,2024-03-25 13:07:00,,California,209,Other,
,2024-03-28 00:13:48,2024-03-27 12:00:00,McCall,Idaho,208,Computer  & technical support,Y
9164862929,2024-03-28 00:16:14,2024-03-27 11:54:00,,California,916,No Subject Provided,N
2099557941,2024-03-28 00:15:51,2024-03-26 10:01:00,,California,209,Other,
9519230688,2024-03-28 00:16:30,2024-03-27 16:25:00,Livermore,California,925,Other,Y
4422915243,2024-03-28 00:18:19,2024-03-26 13:27:00,,California,209,Other,
4084035537,2024-03-28 00:18:21,2024-03-27 17:19:00,Pittsburg,California,925,Other,N
6574875263,2024-03-28 00:19:23,2024-03-27 12:14:00,,California,916,No Subject Provided,N
4158812321,2024-03-28 00:01:39,2024-03-26 07:53:00,Livermore,California,925,Other,Y
5416389517,2024-03-28 00:01:19,2024-03-27 12:46:00,,Oregon,503,Vacation  & timeshares,N
7207649639,2024-03-28 00:00:42,2024-03-27 09:25:00,,Colorado,303,No Subject Provided,N
2135288755,2024-03-28 00:18:48,2024-03-27 02:23:00,San Juan Capistrano,California,949,Dropped call or no message,N
3026638214,2024-03-28 00:20:53,2024-03-27 12:32:00,,California,916,No Subject Provided,N
9099902289,2024-03-28 00:20:31,2024-03-27 15:54:00,Livermore,California,925,Other,Y
9735641663,2024-03-28 00:21:26,2024-03-27 19:19:00,,California,858,Vacation  & timeshares,N
,2024-03-28 00:22:47,2024-03-27 18:21:00,Glasgow,West Virginia,304,Other,Y
5186468604,2024-03-28 00:23:14,2024-03-27 16:25:00,,California,916,No Subject Provided,N
2792353164,2024-03-28 00:23:24,2024-03-26 19:43:00,Pittsburg,California,925,Other,N
6617739940,2024-03-28 00:25:39,2024-03-27 14:06:00,Livermore,California,925,Other,Y
3043962293,2024-03-28 00:26:55,2024-03-27 21:21:00,Glasgow,West Virginia,304,Other,Y
4086818316,2024-03-28 00:27:27,2024-03-26 15:42:00,Pittsburg,California,925,Other,N
9253694877,2024-03-28 00:29:09,2024-03-27 13:48:00,Livermore,California,925,Other,Y
5126874021,2024-03-28 00:29:15,2024-03-27 17:31:00,Glasgow,West Virginia,304,Other,Y
8557088288,2024-03-28 00:29:34,2024-03-28 14:36:00,New York,New York,603,"Reducing your debt (credit cards, mortgage, student loans)",Y
6265611295,2024-03-28 00:31:09,2024-03-27 09:30:00,,California,626,Other,N
7712105590,2024-03-28 00:31:40,2024-03-26 13:56:00,Kailua,Hawaii,808,Dropped call or no message,Y
8047791139,2024-03-28 00:31:45,2024-03-26 19:21:00,Glasgow,West Virginia,304,Other,Y
2093077240,2024-03-28 00:31:46,2024-03-25 16:30:00,Pittsburg,California,925,Other,N
6266052399,2024-03-28 00:34:49,2024-01-09 11:15:00,,California,626,Other,N
6505637511,2024-03-28 00:34:51,2024-03-25 11:35:00,Pittsburg,California,925,Other,N
7078866611,2024-03-28 00:35:25,2024-03-27 12:38:00,Livermore,California,925,Other,Y
8888572454,2024-03-28 00:36:15,2024-03-27 13:20:00,PHOENIX,Arizona,630,Other,Y
6266052399,2024-03-28 00:39:12,2024-01-23 11:20:00,,California,626,Other,N
6025981094,2024-03-28 00:39:53,2023-10-06 12:10:00,PHOENIX,Arizona,630,Other,Y
6266052399,2024-03-28 00:40:40,2024-02-15 12:07:00,,California,626,Other,N
5612069456,2024-03-28 00:41:13,2024-03-26 00:00:00,,Florida,786,Other,Y
4405491346,2024-03-28 00:41:57,2024-03-27 12:17:00,SOUTH SHORE,Kentucky,740,Other,Y
6818755592,2024-03-28 00:41:59,2023-09-12 11:45:00,PHOENIX,Arizona,630,"Calls pretending to be government, businesses, or family and friends",Y
6266052399,2024-03-28 00:42:43,2024-02-27 13:53:00,,California,626,Other,N
7742149144,2024-03-28 00:43:43,2024-03-27 20:59:00,,California,415,No Subject Provided,
6025981094,2024-03-28 00:44:01,2023-09-04 15:41:00,PHOENIX,Arizona,630,Other,Y
6266052399,2024-03-28 00:44:26,2024-03-12 16:02:00,,California,626,Other,N
6266052399,2024-03-28 00:45:47,2024-03-13 15:03:00,,California,626,Other,N
6504387962,2024-03-28 00:46:49,2023-08-18 15:48:00,PHOENIX,Arizona,630,Other,Y
6266052399,2024-03-28 00:47:26,2024-03-27 15:02:00,,California,626,Other,N
8334142681,2024-03-28 00:48:35,2023-08-03 15:59:00,PHOENIX,Arizona,630,"Reducing your debt (credit cards, mortgage, student loans)",Y
9374096506,2024-03-28 00:50:54,2023-07-25 09:53:00,PHOENIX,Arizona,630,Home improvement  & cleaning,Y
7712096720,2024-03-28 00:52:05,2024-03-27 14:37:00,,Washington,206,Other,
8554962350,2024-03-28 00:52:47,2023-06-23 13:22:00,PHOENIX,Arizona,630,Medical  & prescriptions,Y
6265300312,2024-03-28 00:53:22,2024-03-21 14:45:00,,California,626,Other,N
8558186283,2024-03-28 00:55:00,2023-05-12 12:30:00,PHOENIX,Arizona,630,Other,Y
6265300312,2024-03-28 00:55:37,2024-03-26 14:25:00,,California,626,Other,N
9252824788,2024-03-28 00:57:08,2024-03-25 16:41:00,,California,916,No Subject Provided,N
7125241980,2024-03-28 00:56:12,2023-04-26 12:55:00,PHOENIX,Arizona,630,Other,Y
6265300312,2024-03-28 00:57:43,2024-03-27 12:00:00,,California,626,Other,N
8332744994,2024-03-28 00:58:02,2023-03-10 14:32:00,PHOENIX,Arizona,630,"Reducing your debt (credit cards, mortgage, student loans)",Y
9166748123,2024-03-28 00:59:44,2024-03-22 18:05:00,,California,916,No Subject Provided,N
6265300312,2024-03-28 00:59:07,2024-03-27 17:28:00,,California,626,Other,N
4793488628,2024-03-28 00:59:24,2023-02-27 10:10:00,PHOENIX,Arizona,630,"Calls pretending to be government, businesses, or family and friends",Y
8557087346,2024-03-28 00:59:24,2024-03-28 18:27:00,,Colorado,719,"Calls pretending to be government, businesses, or family and friends",Y
4083813849,2024-03-28 01:00:19,2024-03-25 10:39:00,Pittsburg,California,925,Other,N
8007021208,2024-03-28 01:00:34,2024-03-27 19:11:00,,Maryland,410,No Subject Provided,Y
7604854441,2024-03-28 01:01:26,2024-03-27 09:31:00,,California,818,"Reducing your debt (credit cards, mortgage, student loans)",Y
9206574953,2024-03-28 01:02:08,2024-03-18 13:06:00,,California,916,No Subject Provided,N
