Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
9152330460,2023-10-13 00:00:58,2023-10-12 09:15:00,,Texas,915,No Subject Provided,
7182595366,2023-10-13 00:00:21,2023-10-02 13:51:00,BAYSIDE,New York,718,"Calls pretending to be government, businesses, or family and friends",Y
71886317386,2023-10-13 00:01:44,2023-10-09 17:57:00,BAYSIDE,New York,718,"Calls pretending to be government, businesses, or family and friends",Y
7186316936,2023-10-13 00:03:10,2023-10-09 16:28:00,BAYSIDE,New York,718,"Calls pretending to be government, businesses, or family and friends",Y
430204489,2023-10-13 00:04:38,2023-10-09 14:48:00,BAYSIDE,New York,718,"Calls pretending to be government, businesses, or family and friends",Y
9176331704,2023-10-13 00:05:55,2023-10-06 14:54:00,BAYSIDE,New York,718,"Calls pretending to be government, businesses, or family and friends",Y
9176221704,2023-10-13 00:07:17,2023-10-06 14:54:00,BAYSIDE,New York,718,"Calls pretending to be government, businesses, or family and friends",Y
7186316199,2023-10-13 00:08:11,2023-10-06 13:08:00,BAYSIDE,New York,718,"Calls pretending to be government, businesses, or family and friends",Y
5716151634,2023-10-13 00:09:12,2023-10-06 10:54:00,BAYSIDE,New York,718,"Calls pretending to be government, businesses, or family and friends",Y
8668404148,2023-10-13 00:10:48,2023-10-12 12:00:00,Tracy,California,209,"Calls pretending to be government, businesses, or family and friends",Y
5869245756,2023-10-13 00:12:17,2023-10-12 13:11:00,"Sterling Heights,",Michigan,586,Other,Y
5863520218,2023-10-13 00:15:40,2023-10-12 13:09:00,"Sterling Heights,",Michigan,586,Other,Y
2097826870,2023-10-13 00:16:14,2023-10-12 12:47:00,Clovis,California,559,Other,Y
9496205386,2023-10-13 00:16:48,2023-10-12 17:35:00,Clovis,California,559,Other,Y
4805203356,2023-10-13 00:16:54,2023-10-12 12:24:00,"Sterling Heights,",Michigan,586,Other,Y
8055678359,2023-10-13 00:19:36,2023-10-12 14:54:00,,California,562,No Subject Provided,Y
3103045202,2023-10-13 00:20:06,2023-10-11 15:19:00,,California,562,No Subject Provided,Y
4805203356,2023-10-13 00:21:04,2023-10-12 12:24:00,"Sterling Heights,",Michigan,586,Other,Y
8478916093,2023-10-13 00:33:11,2023-10-06 14:56:00,,Illinois,847,Dropped call or no message,Y
4047795575,2023-10-13 00:35:24,2023-10-12 00:00:00,,Georgia,770,No Subject Provided,Y
4044675771,2023-10-13 00:37:06,2023-10-12 12:38:00,,Georgia,770,No Subject Provided,Y
7169440388,2023-10-13 00:38:37,2023-10-12 18:04:00,Amherst,New York,716,Other,Y
8606308815,2023-10-13 00:40:41,2023-07-18 14:24:00,South Windsor,Connecticut,860,Dropped call or no message,Y
9958952232,2023-10-13 00:41:45,2023-07-24 17:15:00,South Windsor,Connecticut,860,Dropped call or no message,Y
8602079401,2023-10-13 00:43:06,2023-07-25 10:03:00,South Windsor,Connecticut,860,Dropped call or no message,Y
8606455219,2023-10-13 00:44:04,2023-07-27 13:58:00,South Windsor,Connecticut,860,Dropped call or no message,Y
8606446704,2023-10-13 00:45:35,2023-07-27 11:31:00,South Windsor,Connecticut,860,Dropped call or no message,Y
8605613626,2023-10-13 00:46:42,2023-07-26 11:09:00,South Windsor,Connecticut,860,Dropped call or no message,Y
2054090517,2023-10-13 00:47:32,2023-10-04 12:00:00,Wadesboro,North Carolina,910,"Calls pretending to be government, businesses, or family and friends",N
8602153148,2023-10-13 00:47:42,2023-08-02 17:22:00,South Windsor,Connecticut,860,Dropped call or no message,Y
8602153148,2023-10-13 00:48:43,2023-08-02 21:15:00,South Windsor,Connecticut,860,Dropped call or no message,Y
8608779198,2023-10-13 00:50:02,2023-08-03 10:22:00,South Windsor,Connecticut,860,Dropped call or no message,Y
5023170453,2023-10-13 00:51:09,2023-08-06 21:54:00,South Windsor,Connecticut,860,Dropped call or no message,Y
5036087218,2023-10-13 00:52:21,2023-08-06 14:25:00,South Windsor,Connecticut,860,Dropped call or no message,Y
7179977375,2023-10-13 00:53:39,2023-08-04 11:25:00,South Windsor,Connecticut,860,Dropped call or no message,Y
2095999472,2023-10-13 00:54:10,2023-10-12 15:46:00,STOCKTON,California,209,Dropped call or no message,Y
2535617866,2023-10-13 00:54:33,2023-10-12 18:57:00,Pleasantville,New York,720,"Energy, solar,  & utilities",Y
8602153148,2023-10-13 00:54:45,2023-08-07 19:29:00,South Windsor,Connecticut,860,Dropped call or no message,Y
2095846209,2023-10-13 00:55:04,2023-10-12 18:10:00,STOCKTON,California,209,Dropped call or no message,Y
7063834004,2023-10-13 00:56:03,2023-08-10 16:56:00,South Windsor,Connecticut,860,Dropped call or no message,Y
